sentence,intent,language
balance check,balance_check,en
check balanc,balance_check,en
account balance check,balance_check,en
check account balanc,balance_check,en
show me my account balance,balance_check,en
Check my account balance,balance_check,en
Find my bank balance,balance_check,en
Tell me my funds,balance_check,en
Show my balance,balance_check,en
Check available funds,balance_check,en
Find my account balance,balance_check,en
Tell me my account balance,balance_check,en
Show me my funds,balance_check,en
Check my bank balance,balance_check,en
Find available funds,balance_check,en
Savings balance?,balance_check,en
"Savings balance, please",balance_check,en
Current funds?,balance_check,en
Check Savings,balance_check,en
Show balance,balance_check,en
Tell Savings. please,balance_check,en
Check funds,balance_check,en
Find balance,balance_check,en
Tell amount,balance_check,en
Show balance,balance_check,en
Balance in bank account,balance_check,en
Bank balance,balance_check,en
Money in bank,balance_check,en
"Savings, how much?",balance_check,en
Savings account balance?,balance_check,en
Money in Current account?,balance_check,en
Check money in Savings account,balance_check,en
Show balance,balance_check,en
inquiring account balance,balance_check,en
enquiring account balance,balance_check,en
balanc inquiry,balance_check,en
balanc enquiry,balance_check,en
balance inquiry,balance_check,en
balance enquiry,balance_check,en
balance in quiry,balance_check,en
balance en quiry,balance_check,en
Savings balance of my upi account,balance_check,en
Upi account balance,balance_check,en
Current funds in upi?,balance_check,en
Check upi account balance,balance_check,en
Show balance from upi,balance_check,en
Tell Savings in my upi account. please,balance_check,en
Upi account Check funds,balance_check,en
Upi balance,balance_check,en
Tell amount in upi,balance_check,en
Show upi balance,balance_check,en
Money in upi account,balance_check,en
tell me the balance of my upi account,balance_check,en
show the available balance in my upi account,balance_check,en
let me check the balance of my upi account,balance_check,en
how much funds do i have in my upi account,balance_check,en
i would like to check the balance of my upi account,balance_check,en
i'd like to check the balance of my upi account,balance_check,en
wat'ch my upi account balance,balance_check,en
what's my upi account balance,balance_check,en
can you tell me my upi balance,balance_check,en
show me the balance inquiry,balance_check,en
show me the available balance in my upi account,balance_check,en
show me the amount left in my account i would like to check the balance of my upi account,balance_check,en
let me check my balance of my upi account,balance_check,en
how much fund do i have in my upi account how much funds do i have in my upi account,balance_check,en
what's my upi account balance,balance_check,en
what is my upi balance,balance_check,en
Can you tell me upi balance in my bank account?,balance_check,en
I need to find out how much money I have in my upi bank account,balance_check,en
Could you show me my upi balance?,balance_check,en
I want to check the amount of money I have in my bank account,balance_check,en
Can you tell me the current balance of my bank account?,balance_check,en
I need to find out my available funds in the bank,balance_check,en
Could you show me the balance of my account?,balance_check,en
I want to check the available balance in my bank account,balance_check,en
Can you tell me the amount of money in upi account right now?,balance_check,en
I need to find out the balance of bank account,balance_check,en
Can you show me my current account balance?,balance_check,en
I need to check how much money is in my savings account,balance_check,en
Could you tell me the balance of my current account?,balance_check,en
"I'd like to find out my savings account balance, please",balance_check,en
Can you show me the balance in my account?,balance_check,en
I'm wondering if you could check my current account balance?,balance_check,en
Would you mind telling me how much money I have in my savings account?,balance_check,en
I'm interested in finding out my account balance,balance_check,en
Can you tell me the balance of my savings account?,balance_check,en
Could you show me the current balance in my account?,balance_check,en
how much money is left in upi,balance_check,en
I would like to inquire about the current balance in my account with urban bareilly bank,balance_check,en
Could you please provide me with the updated balance in my janatha seva cooperative bank account?,balance_check,en
I'm interested in knowing the remaining funds in my kerala gramina bank account,balance_check,en
Can you help me check the balance in my account at ajanta urban?,balance_check,en
I need to find out how much money I have in my maharashtra state cooperative bank account,balance_check,en
I'd like to request the current balance of my account with urban co op bank dharangaon,balance_check,en
"May I know the available balance in my hasti cooperative bank account, please?",balance_check,en
I'm curious to know the balance in my amreli jilla madhyastha sahakari bank account,balance_check,en
Could you please share the current balance of my account at bhilwara urban cooperative bank?,balance_check,en
"I want to check the balance in my baran nagrik sahakari bank account, can you assist me with that?",balance_check,en
enquiring my kallapanna arwade ichalkaranji janata sahakari bank balance,balance_check,en
inquiring shri janata sahakari bank limited halol balance,balance_check,en
in quiring my account balanc from au small bank,balance_check,en
"s c b account balance, please",balance_check,en
enquire account balance idbi bank,balance_check,en
Upi account Check my sri vasavamba cooperative bank balance,balance_check,en
"pratap cooperative bank limited upi balance, please",balance_check,en
Check my nandura urban co op bank limited nandura balance,balance_check,en
"sterling urban cooperative bank limited account balance, please",balance_check,en
Need account balance shri janata sahakari bank limited halol,balance_check,en
Upi account Check my bhadradri cooperative urban bank balance,balance_check,en
"cosmos co op bank upi balance, please",balance_check,en
Need upi balance andhra pradesh mahesh cooperative bank,balance_check,en
upi balance of kalyan janta sahakari account,balance_check,en
Need upi balance from city union bank,balance_check,en
Balance in kankaria mainagar nagrik sahakari bank upi,balance_check,en
Inquire vishweshwar sahakari bank limited account balance,balance_check,en
"My deutsche bank balance, please",balance_check,en
Balance for navi mumbai cooperative bank account,balance_check,en
mahaveer cooperative urban bank balance request,balance_check,en
Check ap mahesh cooperative urban bank account balance,balance_check,en
I need karnataka state cooperative apex bank limited balance,balance_check,en
h d f c account balance inquiry,balance_check,en
Inquire about jio bank savings account,balance_check,en
Inquire about business cooperative bank limited saving account,balance_check,en
Check smriti nagrik sahakari bank maryadit mandsaur current account,balance_check,en
Request bhartiya state bank savings account balance update,balance_check,en
Request priyadarshini nagari sahakari bank jalna saving account balance update,balance_check,en
Get dapoli urban cooperative bank current account balance details,balance_check,en
Need mandvi nagarik sahakari bank limited savings account balance info,balance_check,en
Need rajarshi shahu sahakari bank saving account balance info,balance_check,en
Seek indusind bank savings account info,balance_check,en
Seek Sindhanur Urban Co-operative bank saving account info,balance_check,en
Ask for amreli jilla bank current balance,balance_check,en
Obtain bhadradri cooperative urban bank savings balance,balance_check,en
Query idfc current account balance,balance_check,en
Retrieve rajkot peoples cooperative bank savings account balance data,balance_check,en
balance check,balance_check,en
check balanc,balance_check,en
account balance check,balance_check,en
check account balanc,balance_check,en
show me my account balance,balance_check,en
Check my account balance,balance_check,en
Find my bank balance,balance_check,en
Tell me my funds,balance_check,en
Show my balance,balance_check,en
Check available funds,balance_check,en
Find my account balance,balance_check,en
Tell me my account balance,balance_check,en
Show me my funds,balance_check,en
Check my bank balance,balance_check,en
Find available funds,balance_check,en
Savings balance?,balance_check,en
"Savings balance, please",balance_check,en
Current funds?,balance_check,en
Check Savings,balance_check,en
Show balance,balance_check,en
Tell Savings. please,balance_check,en
Check funds,balance_check,en
Find balance,balance_check,en
Tell amount,balance_check,en
Show balance,balance_check,en
Balance in bank account,balance_check,en
Bank balance,balance_check,en
Money in bank,balance_check,en
"Savings, how much?",balance_check,en
Savings account balance?,balance_check,en
Money in Current account?,balance_check,en
Check money in Savings account,balance_check,en
Show balance,balance_check,en
inquiring account balance,balance_check,en
enquiring account balance,balance_check,en
balanc inquiry,balance_check,en
balanc enquiry,balance_check,en
balance inquiry,balance_check,en
balance enquiry,balance_check,en
balance in quiry,balance_check,en
balance en quiry,balance_check,en
Savings balance of my upi account,balance_check,en
Upi account balance,balance_check,en
Current funds in upi?,balance_check,en
Check upi account balance,balance_check,en
Show balance from upi,balance_check,en
Tell Savings in my upi account. please,balance_check,en
Upi account Check funds,balance_check,en
Upi balance,balance_check,en
Tell amount in upi,balance_check,en
Show upi balance,balance_check,en
Money in upi account,balance_check,en
tell me the balance of my upi account,balance_check,en
show the available balance in my upi account,balance_check,en
let me check the balance of my upi account,balance_check,en
how much funds do i have in my upi account,balance_check,en
i would like to check the balance of my upi account,balance_check,en
