sentence,intent,language
यू पी आई बैलेंस,balance_check,hi
यू पी आई अकाउंट बैलेंस कितना है,balance_check,hi
यू पी आई खाते का  बैलेंस कितना है,balance_check,hi
यूपीआई बैलेंस,balance_check,hi
यूपीआई अकाउंट बैलेंस कितना है,balance_check,hi
यूपीआई खाते का  बैलेंस कितना है,balance_check,hi
बैलेंस चेक करना है,balance_check,hi
बैलेन्स चेक करना है,balance_check,hi
बैलेन्स चैक करना है,balance_check,hi
बैलेंस चैक करना है,balance_check,hi
बैलेंस जानना है,balance_check,hi
बैलेन्स जानना है,balance_check,hi
मेरे खाते में कितना पैसा है,balance_check,hi
खाते में कितने पैसे हैं,balance_check,hi
यू पी आई खाते में कितने पैसे हैं,balance_check,hi
बैलेन्स चेक करना है यू पी आई खाते  का,balance_check,hi
बैलेंस चैक करना है यूपीआई अकाउंट का,balance_check,hi
मेरे खाता शेष राशि चेक करें।,balance_check,hi
खाते की बैलेंस चेक कीजिए।,balance_check,hi
बचत खाते में शेष राशि दिखलाइए।,balance_check,hi
मेरे बचत खाते की राशि बताइए।,balance_check,hi
चालू खाते की शेष धनराशि को देखें।,balance_check,hi
"मेरे चालू खाते में कितना पैसा है, यह दिखाएं।",balance_check,hi
बैंक खाते का बैलेंस दिखाएं।,balance_check,hi
मेरे बैंक खाते की वित्तीय स्थिति दिखाएं।,balance_check,hi
यू पी आई खाते में शेष राशि दिखलाइए।,balance_check,hi
मेरे यू पी आई खाते की राशि बताइए।,balance_check,hi
यू पी आई खाते की शेष धनराशि को देखें।,balance_check,hi
"मेरे यू पी आई खाते में कितना पैसा है, यह दिखाएं।",balance_check,hi
यू पी आई खाते का बैलेंस दिखाएं।,balance_check,hi
मेरे यू पी आई खाते की वित्तीय स्थिति दिखाएं।,balance_check,hi
यूपीआई खाते में शेष राशि दिखलाइए।,balance_check,hi
मेरे यूपीआई खाते की राशि बताइए।,balance_check,hi
यूपीआई खाते की शेष धनराशि को देखें।,balance_check,hi
"मेरे यूपीआई खाते में कितना पैसा है, यह दिखाएं।",balance_check,hi
यूपीआई खाते का बैलेंस दिखाएं।,balance_check,hi
मेरे यूपीआई खाते की वित्तीय स्थिति दिखाएं।,balance_check,hi
मेरे बैंक खाते का बैलेंस क्या है?,balance_check,hi
चालू खाते में कितना पैसा है?,balance_check,hi
चालू खाते की वर्तमान राशि क्या है?,balance_check,hi
बैंक खाते में पैसे कितने बचे हैं?,balance_check,hi
खाते की राशि दिखाओ।,balance_check,hi
चालू खाते की शेष राशि बताओ।,balance_check,hi
मेरे खाते में कितनी धनराशि है?,balance_check,hi
बचत खाते का शेष धनराशि क्या है?,balance_check,hi
मेरे बचत खाते में कितने पैसे बचे हैं?,balance_check,hi
खाते का बैलेंस बताओ।,balance_check,hi
मेरे खाते में कितने पैसे बचे हैं?,balance_check,hi
कितने पैसे बचे हैं मेरे बैंक खाते में ?,balance_check,hi
चालू खाते में कितने पैसे बचे हैं?,balance_check,hi
कितने पैसे बचे हैं मेरे चालू खाते में ?,balance_check,hi
मेरे बचत खाते में कितने पैसे बचे हैं?,balance_check,hi
कितने पैसे बचे हैं बचत खाते में ?,balance_check,hi
बैंक खाते में अभी कितने पैसे हैं?,balance_check,hi
मेरे चालू खाते में शेष पैसे कितने हैं?,balance_check,hi
चालू खाते में पैसा बचा है कितना?,balance_check,hi
मेरे बचत खाते में कितना पैसा बचा हुआ है?,balance_check,hi
बचत खाते में कितना पैसा शेष है?,balance_check,hi
मेरे खाते में कितना पैसा अभी शेष है?,balance_check,hi
बैंक खाते में कितना पैसा अभी बचा है?,balance_check,hi
मेरे यू पी आई खाते में कितने पैसे बचे हैं?,balance_check,hi
कितने पैसे बचे हैं मेरे यू पी आई बैंक खाते में ?,balance_check,hi
यूपीआई खाते में कितने पैसे बचे हैं?,balance_check,hi
कितने पैसे हैं मेरे यूपीआई खाते में ?,balance_check,hi
यू पी आई खाते में कितने पैसे?,balance_check,hi
कितने पैसे हैं बचत खाते में ?,balance_check,hi
खाते का बैलेन्स बता दो,balance_check,hi
यू पी आई खाते में शेष राशि दिखलाइए।,balance_check,hi
मेरे यूपीआई खाते की राशि बताइए।,balance_check,hi
यू पी आई अकाउंट की शेष धनराशि को देखें।,balance_check,hi
"मेरे यू पी आई खाते में कितना पैसा है, यह दिखाएं।",balance_check,hi
यू पी आई बैंक खाते का बैलेंस दिखाएं।,balance_check,hi
यूपीआई बैंक खाते की वित्तीय स्थिति दिखाएं।,balance_check,hi
मैं चालू खाते में बची धनराशि के बारे में पूछ रहा हूँ।,balance_check,hi
मुझे मेरे अकाउंट में कितने पैसे हैं वो देखना है,balance_check,hi
आईडीबीआई खाते का बैलेंस चेक करना है,balance_check,hi
