sentence,intent,language
फ़ास्ट टैग रीचार्ज,fastag_recharge,hi
फास्ट टैग रीचार्ज,fastag_recharge,hi
"फ़ास्ट टैग रीचार्ज, प्लीज",fastag_recharge,hi
फ़ास्ट टैग रीचार्ज चाहिए,fastag_recharge,hi
फ़ास्ट टैग रीचार्ज करो,fastag_recharge,hi
फास्ट टैग रीचार्ज करो,fastag_recharge,hi
फ़ास्टैग रीचार्ज करो,fastag_recharge,hi
फास्टैग रीचार्ज करो,fastag_recharge,hi
फ़ास्ट टैग रीचार्ज कर दो,fastag_recharge,hi
फास्ट टैग रीचार्ज कर दो,fastag_recharge,hi
फ़ास्टैग रीचार्ज कर दो,fastag_recharge,hi
फास्टैग रीचार्ज कर दो,fastag_recharge,hi
फ़स्टैग रीचार्ज करो,fastag_recharge,hi
फस्टैग रीचार्ज करो,fastag_recharge,hi
फ़स्ट टैग रीचार्ज कर दो,fastag_recharge,hi
फस्ट टैग रीचार्ज कर दो,fastag_recharge,hi
फस्ट टैग रीचार्ज करो,fastag_recharge,hi
फस्ट टैग रीचार्ज कर दो,fastag_recharge,hi
यू पी आई से फ़ास्ट टैग रीचार्ज,fastag_recharge,hi
फास्ट टैग रीचार्ज यू पी आई से,fastag_recharge,hi
"यू पी आई बैलेंस से फ़ास्ट टैग रीचार्ज, प्लीज",fastag_recharge,hi
फ़ास्ट टैग रीचार्ज चाहिए यू पी आई अकाउंट से,fastag_recharge,hi
यू पी आई से फ़ास्ट टैग रीचार्ज करो,fastag_recharge,hi
यू पी आई से फास्ट टैग रीचार्ज करो,fastag_recharge,hi
फ़ास्टैग रीचार्ज करो यू पी आई से,fastag_recharge,hi
यू पी आई बैलेंस  से फास्टैग रीचार्ज करो,fastag_recharge,hi
फ़ास्ट टैग रीचार्ज कर दो यू पी आई से,fastag_recharge,hi
फास्ट टैग रीचार्ज कर दो यू पी आई से,fastag_recharge,hi
यू पी आई एकाउंट से फ़ास्टैग रीचार्ज कर दो,fastag_recharge,hi
यू पी आई बैलेंस सेफास्टैग रीचार्ज कर दो,fastag_recharge,hi
यू पी आई अकाउंट से फ़स्टैग रीचार्ज करो,fastag_recharge,hi
फस्टैग रीचार्ज करो यू पी आई से,fastag_recharge,hi
फ़स्ट टैग रीचार्ज कर दो यू पी आई बैलेंस से,fastag_recharge,hi
फस्ट टैग रीचार्ज कर दो यू पी आई एकाउंट से,fastag_recharge,hi
यू पी आई से फस्ट टैग रीचार्ज करो,fastag_recharge,hi
यू पी आई से फस्ट टैग रीचार्ज कर दो,fastag_recharge,hi
यूपीआई से फ़ास्ट टैग रीचार्ज,fastag_recharge,hi
फास्ट टैग रीचार्ज यूपीआई से,fastag_recharge,hi
"यू पी आई बैलेंस से फ़ास्ट टैग रीचार्ज, प्लीज",fastag_recharge,hi
फ़ास्ट टैग रीचार्ज चाहिए यूपीआई अकाउंट से,fastag_recharge,hi
