sentence,intent,language
add talk time,mobile_recharge_prepaid,en
add talk time to my phone,mobile_recharge_prepaid,en
want to add talk time to mobile,mobile_recharge_prepaid,en
add talk time to phone number,mobile_recharge_prepaid,en
i want to mobile recharge,mobile_recharge_prepaid,en
want to recharge mobile,mobile_recharge_prepaid,en
want to recharge mobile phone,mobile_recharge_prepaid,en
want to recharge phone,mobile_recharge_prepaid,en
do mobile recharge,mobile_recharge_prepaid,en
do phone recharge,mobile_recharge_prepaid,en
do mobile phone recharge,mobile_recharge_prepaid,en
Phone recharge,mobile_recharge_prepaid,en
Mobile recharge,mobile_recharge_prepaid,en
Recharge mobile,mobile_recharge_prepaid,en
Recharge phone,mobile_recharge_prepaid,en
Recharge my mobile,mobile_recharge_prepaid,en
Recharge my phone number,mobile_recharge_prepaid,en
Mobile phone recharge,mobile_recharge_prepaid,en
Recharge mobile phone,mobile_recharge_prepaid,en
can you please recharge my phone,mobile_recharge_prepaid,en
please recharge my mobile phone,mobile_recharge_prepaid,en
can you recharge my mobile,mobile_recharge_prepaid,en
recharge the number I am calling from,mobile_recharge_prepaid,en
add unlimited pack to my mobile,mobile_recharge_prepaid,en
topup my mobile,mobile_recharge_prepaid,en
help me add a data pack,mobile_recharge_prepaid,en
recharge this phone,mobile_recharge_prepaid,en
quickly topup this mobile phone,mobile_recharge_prepaid,en
help me recharge this number urgently,mobile_recharge_prepaid,en
this number is to be recharged,mobile_recharge_prepaid,en
recharge this mobile,mobile_recharge_prepaid,en
Need phone recharge ASAP,mobile_recharge_prepaid,en
"Low balance, recharge now",mobile_recharge_prepaid,en
"Running low, phone recharge needed",mobile_recharge_prepaid,en
Recharge mobile for data,mobile_recharge_prepaid,en
Phone needs recharge now,mobile_recharge_prepaid,en
"Want to stay connected, recharge phone",mobile_recharge_prepaid,en
Top up prepaid phone,mobile_recharge_prepaid,en
Refill mobile phone credit,mobile_recharge_prepaid,en
Top-up prepaid connection,mobile_recharge_prepaid,en
Add balance to phone,mobile_recharge_prepaid,en
Top up my phone with unlimited pack,mobile_recharge_prepaid,en
Refill phone with data pack,mobile_recharge_prepaid,en
Top up mobile with internet pack,mobile_recharge_prepaid,en
Refill mobile credit now,mobile_recharge_prepaid,en
Top-up prepaid phone now,mobile_recharge_prepaid,en
Use upi for Phone recharge,mobile_recharge_prepaid,en
Mobile recharge using upi balance,mobile_recharge_prepaid,en
Pay from upi to Recharge mobile,mobile_recharge_prepaid,en
Recharge phone using upi account,mobile_recharge_prepaid,en
Mobile phone recharge from upi balance,mobile_recharge_prepaid,en
Use upi to Recharge mobile phone,mobile_recharge_prepaid,en
can you please recharge my phone,mobile_recharge_prepaid,en
please recharge my mobile phone,mobile_recharge_prepaid,en
can you recharge my mobile from upi account,mobile_recharge_prepaid,en
recharge the number I am calling from,mobile_recharge_prepaid,en
Using upi add unlimited pack to my mobile,mobile_recharge_prepaid,en
topup my mobile from upi account,mobile_recharge_prepaid,en
from upi account help me add a data pack,mobile_recharge_prepaid,en
recharge my phone with ruppes twenty eight,mobile_recharge_prepaid,en
add rupee seventeen to my bharti airtel phone,mobile_recharge_prepaid,en
quickly recharge the number I am calling from,mobile_recharge_prepaid,en
need your help in recharging this number. add seventy rupees,mobile_recharge_prepaid,en
add ruppes seventy seven to this number,mobile_recharge_prepaid,en
Recharge with internet wala pack of twenty seven rupes,mobile_recharge_prepaid,en
do me a favor. topup this dolphin number with rs eighty eight,mobile_recharge_prepaid,en
topup my number with data pack of rupee fifty four,mobile_recharge_prepaid,en
add rupees eighty talk time,mobile_recharge_prepaid,en
add ruppes thirty one talk time to my phone,mobile_recharge_prepaid,en
want to add rupees thirty five talk time to mobile,mobile_recharge_prepaid,en
add talk time of rupees twenty nine to phone number,mobile_recharge_prepaid,en
I want to add talk time of rupes forty six to mobilenumber,mobile_recharge_prepaid,en
Top up reliance jio mobile,mobile_recharge_prepaid,en
Recharge vodafone mobile phone urgently,mobile_recharge_prepaid,en
Want to recharge airtel phone,mobile_recharge_prepaid,en
I need to recharge my jio phone as my balance is running low,mobile_recharge_prepaid,en
My bharat sanchar nigam phone needs a recharge to ensure I can stay connected,mobile_recharge_prepaid,en
I want to top up my trump phone to make sure I have enough credit for calls and data,mobile_recharge_prepaid,en
It's time to recharge my mahanagar telephone nigam phone so I can continue using its services,mobile_recharge_prepaid,en
I'm planning to recharge my bsnl phone to avoid any interruptions in communication,mobile_recharge_prepaid,en
I need to add credit to my airtel phone to keep it active,mobile_recharge_prepaid,en
"I'm running low on balance on my jio phone, so I need to recharge it soon",mobile_recharge_prepaid,en
I want to refill my vodafone idea phone so I can make calls and browse the internet without any issues,mobile_recharge_prepaid,en
My reliance jio phone needs a recharge to keep it functional and accessible,mobile_recharge_prepaid,en
I'm looking to top up my mtnl phone so I can stay connected with my friends and family,mobile_recharge_prepaid,en
Recharge prepaid phone with rs thirteen,mobile_recharge_prepaid,en
Refill rupee thirty six in mobile credit,mobile_recharge_prepaid,en
Recharge mobile phone with ninety eight rupes,mobile_recharge_prepaid,en
Recharge mobile with seventy rupees,mobile_recharge_prepaid,en
Recharge phone with rs ninety one,mobile_recharge_prepaid,en
Top up mobile with rs twenty six,mobile_recharge_prepaid,en
Add twenty six rupee in prepaid phone,mobile_recharge_prepaid,en
Pay eleven rupee to top up my mobile,mobile_recharge_prepaid,en
Make payment of sixty one rs to recharge mobile eighty nine thousand sixty sixty one thousand four hundred eighty five,mobile_recharge_prepaid,en
Make payment of thirty four rupees to recharge trump mobile phone,mobile_recharge_prepaid,en
pay ruppes seventy four to recharge bharti airtel mobile phone,mobile_recharge_prepaid,en
Recharge mobile phone and add rupes seventeen,mobile_recharge_prepaid,en
Top up phone with unlimited pack of ruppes ninety seven,mobile_recharge_prepaid,en
Topup this mobile nine thousand one hundred eighty four nine hundred forty five two hundred thirty six,mobile_recharge_prepaid,en
recharge this phone sixty two sixty one eighty seven twenty two thirty six,mobile_recharge_prepaid,en
Get an unlimited pack of rupee thirty three for my phone,mobile_recharge_prepaid,en
Recharge mobile with ruppes seventeen wala unlimited pack,mobile_recharge_prepaid,en
Recharge mtnl phone with pack of rupes seventeen,mobile_recharge_prepaid,en
Add a data pack to bharti airtel number sixty six sixty seven sixteen twenty one eight,mobile_recharge_prepaid,en
seventy nine rupees wala unlimited pack needed for mobile phone,mobile_recharge_prepaid,en
rupes sixty one recharge wanted for mobile sixty five seventy five twenty four twenty six twenty nine,mobile_recharge_prepaid,en
Get ninety rs ka internet pack for prepaid phone,mobile_recharge_prepaid,en
My vodafone idea phone number is seven hundred thirty nine three twenty two sixty seven. Add sixty two ruppes pack,mobile_recharge_prepaid,en
Recharge sixty six thirty three twenty six eight four five one with ninety nine rupee,mobile_recharge_prepaid,en
Top up ninety eight nine three five seven one three eight eight balance,mobile_recharge_prepaid,en
Refill ninety eight eighty six sixty seven thirty six sixty nine talk time,mobile_recharge_prepaid,en
Replenish sixty one eight six zero zero three one two three with fifty two ruppes,mobile_recharge_prepaid,en
Add funds to eight thousand six hundred fifty five nine hundred nine five hundred eighty,mobile_recharge_prepaid,en
Recharge ninety four thousand eight hundred seventy forty four thousand five hundred seventy two now,mobile_recharge_prepaid,en
Refill sixty five ninety nine three seven seven two four four balance immediately,mobile_recharge_prepaid,en
Top up seventy five twenty seven six two five two one one with pack of rs ninety two ,mobile_recharge_prepaid,en
Add sixty one rupee to seventy nine forty eight thirty five thirty six four four balance,mobile_recharge_prepaid,en
Recharge reliance jio  number eighty three eleven fifty eight nine two one four,mobile_recharge_prepaid,en
dolphin Mobile recharge eighty four ruppes,mobile_recharge_prepaid,en
Pay to recharge number sixty one forty eight seventeen forty one three,mobile_recharge_prepaid,en
Make payment to recharge reliance jio phone,mobile_recharge_prepaid,en
vodafone idea Mobile phone recharge,mobile_recharge_prepaid,en
Recharge mahanagar telephone nigam phone number eighty four fifty four four eight two three,mobile_recharge_prepaid,en
Use upi for mahanagar telephone nigam recharge number six thousand three hundred fifty nine seven hundred ninety one five hundred twenty seven,mobile_recharge_prepaid,en
bharat sanchar nigam phone recharge using upi balance,mobile_recharge_prepaid,en
Pay from upi to Recharge mobile eighty five five three two three nine five zero eight,mobile_recharge_prepaid,en
Recharge ninety four sixty seven forty two five one nine two phone using upi account,mobile_recharge_prepaid,en
sixty four fifty one zero zero eighty five twenty six Mobile phone recharge from upi balance,mobile_recharge_prepaid,en
Use upi to Recharge vodafone idea mobile phone,mobile_recharge_prepaid,en
can you recharge my mahanagar telephone nigam number ninety five thousand two hundred sixty five seventeen thousand eight hundred fifty five from upi account,mobile_recharge_prepaid,en
add talk time,mobile_recharge_prepaid,en
add talk time to my phone,mobile_recharge_prepaid,en
want to add talk time to mobile,mobile_recharge_prepaid,en
add talk time to phone number,mobile_recharge_prepaid,en
i want to mobile recharge,mobile_recharge_prepaid,en
