sentence,intent,language
English language,inform,en
Hindi language,inform,en
Gujarati language,inform,en
Marathi language,inform,en
Panjabi language,inform,en
Punjabi language,inform,en
Tamil language,inform,en
Telugu language,inform,en
Kannada language,inform,en
Kannad language,inform,en
Bengali language,inform,en
Bangla language,inform,en
Oriya language,inform,en
Malayalam language,inform,en
Malayali language,inform,en
Urdu language,inform,en
Sanskrit language,inform,en
English,inform,en
Hindi,inform,en
Gujarati,inform,en
Marathi,inform,en
Panjabi,inform,en
Punjabi,inform,en
Tamil,inform,en
Telugu,inform,en
Kannada,inform,en
Kannad,inform,en
Bengali,inform,en
Bangla,inform,en
Oriya,inform,en
Malayalam,inform,en
Malayali,inform,en
Urdu,inform,en
Sanskrit,inform,en
ninety nine ninety one sixty five one seven three eight,inform,en
sixty four seventy seven eight two seven one six seven,inform,en
seventy seven nine one three one nine four one eight,inform,en
sixty nine twenty thirteen twenty eight fifty nine,inform,en
eight thousand four hundred seventy eight two hundred seventy nine six hundred sixty five,inform,en
ninety seven ninety six seventy eight forty nine six three,inform,en
ninety three forty three ninety seven twenty six sixty eight,inform,en
ninety six seventy eight sixty five four zero seven nine,inform,en
eight hundred fifteen five hundred eighty seven thirty six twenty eight,inform,en
sixty one seven zero eight seven six five eight seven,inform,en
It is eight hundred thirty one eighty four three forty six,inform,en
Mobile number is eight thousand two hundred nine four hundred nine eight hundred seventy six,inform,en
Here it is sixty one thousand nine hundred thirty seven sixty eight thousand eight hundred seventeen,inform,en
eighty eight thousand seventeen forty five thousand four hundred nine it is,inform,en
Here you go ninety one one four three six eight six one two,inform,en
Sure. number is eight hundred ninety eight three hundred two twenty eighty,inform,en
Hang on. It is ninety six thirty seven ninety four fifty one eighty four,inform,en
Just a second. number is sixty three zero zero forty seven twenty six zero one,inform,en
It is ninety ninety three fifty seven forty seven thirty seven,inform,en
Mobile number is seventy five thousand six hundred fourteen sixty six thousand two hundred fifty five,inform,en
Here it is eighty five two twenty six nine nine nine four,inform,en
