sentence,intent,language
Paying loan installment,emi_collection_full,en
Pay loan due,emi_collection_full,en
Making payment for loan dues,emi_collection_full,en
Making EMI payment,emi_collection_full,en
Clearing loan dues,emi_collection_full,en
Submitting installment payment ,emi_collection_full,en
Settling loan EMI now,emi_collection_full,en
Transferring EMI amount,emi_collection_full,en
Sending loan installment payment,emi_collection_full,en
Finalizing EMI payment now,emi_collection_full,en
Sending loan installment amount,emi_collection_full,en
Making EMI payment from upi,emi_collection_full,en
Paying loan installment from upi,emi_collection_full,en
Pay loan due using upi,emi_collection_full,en
Upi for Making payment for loan dues,emi_collection_full,en
Making EMI payment from upi balance,emi_collection_full,en
Clearing loan dues from upi account,emi_collection_full,en
Upi pay for Submitting installment payment,emi_collection_full,en
Pay from upi to Settle loan EMI dues,emi_collection_full,en
Transferring from Upi EMI amount,emi_collection_full,en
Sending loan installment payment using upi,emi_collection_full,en
Finalizing EMI due payment now using upi account,emi_collection_full,en
Send through upi loan installment amount,emi_collection_full,en
Making EMI due payment through upi,emi_collection_full,en
like to make a payment for my loan installment,emi_collection_full,en
I want to remit a payment towards my loan installment,emi_collection_full,en
submit a payment for my loan dues,emi_collection_full,en
ready to transfer funds for loan dues,emi_collection_full,en
would like to settle loan due by making a payment,emi_collection_full,en
want to fulfill dues  obligation by making a payment,emi_collection_full,en
plan to remit a payment for loan,emi_collection_full,en
I am looking to make a payment to satisfy my loan payment,emi_collection_full,en
ready to remit a payment on loan,emi_collection_full,en
I'm interested in making a payment to fulfill loan obligation,emi_collection_full,en
Planning to remit the loan EMI payment,emi_collection_full,en
Intending to fulfill the loan EMI obligation by making a payment,emi_collection_full,en
Transferring funds to settle the loan EMI,emi_collection_full,en
Making a payment towards the loan EMI,emi_collection_full,en
Decided to submit a payment to fulfill the loan EMI obligation,emi_collection_full,en
Ready to fulfill the loan EMI obligation by remitting a payment,emi_collection_full,en
Intention to make a payment for the loan EMI,emi_collection_full,en
Interested in remitting a payment towards the loan EMI,emi_collection_full,en
Committed to making a payment for the loan EMI,emi_collection_full,en
Goal is to fulfill the loan EMI obligation by transferring funds,emi_collection_full,en
using upi like to make a payment for my loan installment,emi_collection_full,en
I want to remit a payment from upi towards my loan installment,emi_collection_full,en
submit a upi payment for my loan dues,emi_collection_full,en
ready to transfer funds from upi balance for loan dues,emi_collection_full,en
would like to settle loan due by making a payment from upi balance,emi_collection_full,en
want to fulfill dues  obligation by making a payment using upi account,emi_collection_full,en
using upi plan to remit a payment for loan,emi_collection_full,en
I am using upi to make a payment to satisfy my loan payment,emi_collection_full,en
use upi to remit a payment on loan,emi_collection_full,en
Paying loan installment for mobile number sixty seven two seven one two eight one eight nine,emi_collection_full,en
Fulfilling loan obligation for this phone eighty seven three zero seven one two eight eight three,emi_collection_full,en
Clearing loan EMI for sixty seven thirty six twenty one twelve twenty eight,emi_collection_full,en
Making loan payment against number seventy one eighty one thirty eight ninety four seventy one,emi_collection_full,en
Settling loan installment for ninety two twenty one one six zero four nine three,emi_collection_full,en
Paying loan due ninety six seventy eight fifteen six two two zero,emi_collection_full,en
Fulfilling loan commitment for sixty five fifty nine zero five eighty six sixty nine,emi_collection_full,en
Clearing loan obligation  number is sixty five eight four eight eight nine zero zero nine,emi_collection_full,en
Making payment for loan mobile numebr is ninety sixteen sixteen sixteen eight zero,emi_collection_full,en
Settling loan installment for eighty five sixty four eight four four six seven,emi_collection_full,en
Paying from upi loan installment for mobile number sixty three thousand one hundred two eighty eight thousand nine hundred forty one,emi_collection_full,en
Fulfilling loan obligation using upi for this phone seventy six two eight zero three nine eight nine three,emi_collection_full,en
Clearing loan EMI from upi balance for seventy one ten nineteen four eleven,emi_collection_full,en
Making loan payment against number eighty eight two four two one nine six four seven using upi account,emi_collection_full,en
Settling loan installment for sixty one thirty one thirteen forty thirty nine from upi balance,emi_collection_full,en
Paying from upi balance loan due eighty eight fifty nine nine one two two two two,emi_collection_full,en
Paying loan installment loan number tb five one zero four six zero,emi_collection_full,en
Fulfilling loan obligation for w p eight seven five six five four,emi_collection_full,en
Clearing loan EMI for g h seven two six four three three,emi_collection_full,en
Making loan payment for i t two one two two five four,emi_collection_full,en
Settling loan installment this number bf six eight eight six five three,emi_collection_full,en
Paying loan due wl six six six seven four five is loan number,emi_collection_full,en
Fulfilling loan commitment for zb nine seven zero three four two,emi_collection_full,en
Clearing loan obligation for loan account number i p eight three one zero eight seven,emi_collection_full,en
Making payment f v two four three nine zero one is loan account number,emi_collection_full,en
Settling loan installment for number g s six two four zero three six,emi_collection_full,en
Paying from upi account r a four four five six five one is loan number,emi_collection_full,en
Fulfilling loan commitment for ml five zero five five three two using upi balance,emi_collection_full,en
Clearing from upi account loan obligation for loan account number k e three one nine six six eight,emi_collection_full,en
Making payment using upi c u four five five two six eight is loan account number,emi_collection_full,en
using upi balance to settle loan installment for number wu seven three eight four five six,emi_collection_full,en
I would like to make a payment towards the loan associated with the phone number eighty eight twenty one sixty five twenty six seven three,emi_collection_full,en
I am interested in paying off the loan dues linked to sixty three fifty two sixty nine sixty five twenty two,emi_collection_full,en
I intend to make a payment on the loan due amount that is connected to seventy fifteen twenty six sixty seventy five,emi_collection_full,en
My goal is to settle the outstanding balance on the loan associated with six thousand five hundred eighty five seven hundred fifty four hundred thirty nine,emi_collection_full,en
ready to submit a EMI payment that is linked to sixty three seventy two seventy nine twenty eight thirteen,emi_collection_full,en
clear the remaining EMI due amount connected to eight thousand three hundred fifty nine one hundred sixty one seven hundred twenty seven by making a payment,emi_collection_full,en
I am planning to make a payment towards the loan that is associated with nine hundred fifty one nine hundred sixty two ninety five twenty five,emi_collection_full,en
I would like to satisfy the debt on the loan that is tied to sixty four six six nine zero one two two zero by submitting a upi payment,emi_collection_full,en
I intend to fulfill my obligation by making a upi payment towards the installment linked to ninety thousand ninety two forty four thousand one hundred forty one,emi_collection_full,en
pay off using upi the dues associated with seventy one fifty ninety five one four nine zero by submitting a payment,emi_collection_full,en
I would like to fulfill my obligation by making a upi payment towards the due amount linked with ninety eight one one nine nine nine nine three,emi_collection_full,en
"To fulfill my obligation, I plan to make a payment from upi account for the loan linked with ninety one thousand fifty ninety six thousand eight hundred fifty five",emi_collection_full,en
Use upi balance for Making the EMI payment for the loan associated with sixty three one five three one seven two six three is my priority,emi_collection_full,en
