sentence,intent,language
आधे ऋण का भुगतान,emi_collection_partial,hi
ऋण की आधी किश्त का भुगतान,emi_collection_partial,hi
ऋण की थोड़ी किश्त का भुगतान,emi_collection_partial,hi
थोड़े ऋण का पेमेंट,emi_collection_partial,hi
ऋण की आंशिक किश्त का पेमेन्ट,emi_collection_partial,hi
पर्शिअल किश्त का पेमेंट,emi_collection_partial,hi
ऋण की पार्शियल किश्त का पेमेंट,emi_collection_partial,hi
पार्ट लोन का भुगतान,emi_collection_partial,hi
आधे कर्ज का भुगतान,emi_collection_partial,hi
आंशिक किश्त का भुगतान,emi_collection_partial,hi
लोन का पार्ट पेमेंट,emi_collection_partial,hi
कर्ज का पार्ट पेमेंट,emi_collection_partial,hi
किश्त का पार्शियल पेमेंट,emi_collection_partial,hi
किश्त का पर्शिअल पेमेंट,emi_collection_partial,hi
लोन का आधा पेमेन्ट,emi_collection_partial,hi
कर्ज का थोड़ा पेमेन्ट,emi_collection_partial,hi
आधी किश्त का पेमेन्ट,emi_collection_partial,hi
ऋण के एक हिस्से का भुगतान,emi_collection_partial,hi
लोन के एक हिस्से का पेमेंट,emi_collection_partial,hi
किश्त के एक हिस्से का पेमेंट,emi_collection_partial,hi
किश्त के एक हिस्से का पेमेन्ट,emi_collection_partial,hi
लोन के आधे इन्सटॉलमेंट का पेमेंट,emi_collection_partial,hi
लोन का पर्शिअल इन्सटॉलमेंट का पेमेन्ट,emi_collection_partial,hi
लोन इंस्टॉलमेंट का पार्शियल पेमेंट,emi_collection_partial,hi
लोन इंस्टॉलमेंट का पर्शिअल पेमेन्ट,emi_collection_partial,hi
लोन  की पर्शिअल इ एम आई  का पेमेंट,emi_collection_partial,hi
लोन की पार्शियल इएमआई का पर्शिअल पेमेन्ट,emi_collection_partial,hi
आन्शिक इ एम आई  का पेमेंट,emi_collection_partial,hi
आंशिक इएमआई का पेमेन्ट,emi_collection_partial,hi
पार्शियल लोन इन्सटॉलमेंट का भुगतान,emi_collection_partial,hi
पर्शिअल लोन इन्सटॉलमेंट का भुगतान,emi_collection_partial,hi
लोन पर्शिअल इंस्टॉलमेंट का भुगतान,emi_collection_partial,hi
पार्शियल लोन इंस्टॉलमेंट का भुगतान,emi_collection_partial,hi
लोन  पार्शियल इ एम आई  का भुगतान,emi_collection_partial,hi
पार्शियल लोन इएमआई का भुगतान,emi_collection_partial,hi
आधी इ एम आई  का भुगतान,emi_collection_partial,hi
आधि इएमआई का भुगतान,emi_collection_partial,hi
कर्ज की आधी किश्त भरनी है,emi_collection_partial,hi
कर्ज की आधि किश्त जमा करानी है,emi_collection_partial,hi
आधी कर्ज किश्त जमा करनी है,emi_collection_partial,hi
लोन की आधी किश्त भरनी है,emi_collection_partial,hi
लोन की आधि किश्त जमा करानी है,emi_collection_partial,hi
आधे लोन की किश्त जमा करनी है,emi_collection_partial,hi
लोन की पार्शियल इ एम आई भरनी है,emi_collection_partial,hi
लोन की पार्शियल इ एम आई जमा करानी है,emi_collection_partial,hi
लोन की आंशिक इ एम आई जमा करनी है,emi_collection_partial,hi
लोन की आन्शिक इएमआई भरनी है,emi_collection_partial,hi
लोन की पार्शियल इएमआई जमा करानी है,emi_collection_partial,hi
लोन की पर्शिअल इएमआई जमा करनी है,emi_collection_partial,hi
लोन का पर्शिअल इन्सटॉलमेंट भरना है,emi_collection_partial,hi
यू पी आई से ऋण की आधी किश्त का भुगतान,emi_collection_partial,hi
आधे ऋण का पेमेंट यू पी आई से,emi_collection_partial,hi
आधी ऋण किश्त का पेमेन्ट यू पी आई से,emi_collection_partial,hi
यू पी आई से लोन का पार्ट भुगतान,emi_collection_partial,hi
कर्ज का आंशिक भुगतान यू पी आई से,emi_collection_partial,hi
पर्शिअल किश्त का भुगतान यू पी आई बैलेंस से,emi_collection_partial,hi
यू पी आई से लोन का पार्ट पेमेंट,emi_collection_partial,hi
यू पी आई खाते से कर्ज का पार्ट  पेमेंट,emi_collection_partial,hi
किश्त का पार्ट पेमेंट यू पी आई से,emi_collection_partial,hi
लोन का पार्ट पेमेन्ट यू पी आई बैलेन्स से,emi_collection_partial,hi
कर्ज का पार्शियल पेमेन्ट यू पी आई बैलेंस से,emi_collection_partial,hi
यू पी आई बैलेंस से किश्त का पर्शिअल पेमेन्ट,emi_collection_partial,hi
यू पी आई से लोन इन्सटॉलमेंट का पर्शिअल पेमेंट,emi_collection_partial,hi
यू पी आई खाते से लोन इन्सटॉलमेंट का पार्शियल पेमेन्ट,emi_collection_partial,hi
यू पी आई अकाउंट से लोन इंस्टॉलमेंट का पार्ट पेमेंट,emi_collection_partial,hi
लोन पार्ट इंस्टॉलमेंट का पेमेन्ट यू पी आई अकाउंट से,emi_collection_partial,hi
लोन  पार्ट इ एम आई  का पेमेंट यू पी आई अकाउंट से,emi_collection_partial,hi
यू पी आई अकाउंट से लोन पार्ट इएमआई का पेमेन्ट,emi_collection_partial,hi
पार्ट इ एम आई  का पेमेंट यू पी आई अकाउंट से,emi_collection_partial,hi
यू पी आई अकाउंट से पार्शियल इएमआई का पेमेन्ट,emi_collection_partial,hi
पार्शियल लोन इन्सटॉलमेंट का भुगतान यू पी आई एकाउंट  से,emi_collection_partial,hi
पर्शिअल लोन इन्सटॉलमेंट का भुगतान यूपीआई एकाउंट  से,emi_collection_partial,hi
लोन पार्ट इंस्टॉलमेंट का भुगतान यूपीआई एकाउंट  से,emi_collection_partial,hi
यूपीआई एकाउंट  से लोन पार्ट इंस्टॉलमेंट का भुगतान,emi_collection_partial,hi
यूपीआई  एकाउंट  से लोन  पर्शिअल इ एम आई  का भुगतान,emi_collection_partial,hi
लोन पर्शिअल इएमआई का भुगतान यूपीआई एकाउंट  से,emi_collection_partial,hi
यूपीआई एकाउंट  से पार्ट इ एम आई  का भुगतान,emi_collection_partial,hi
इएमआई का भुगतान यूपीआई एकाउंट  से,emi_collection_partial,hi
यूपीआई से ऋण की आंशिक किश्त का भुगतान,emi_collection_partial,hi
आंशिक ऋण का पेमेंट यूपीआई  से,emi_collection_partial,hi
ऋण आंशिक किश्त का पेमेन्ट यूपीआई से,emi_collection_partial,hi
लोन की पार्ट ईएमआई का पेमेंट करना है।,emi_collection_partial,hi
लोन का पार्शियल इन्सटॉलमेंट भरना है।,emi_collection_partial,hi
पार्ट ई एम आई पे करनी है लोन की।,emi_collection_partial,hi
पार्शियल इन्सटॉलमेंट पे करना है लोन का ।,emi_collection_partial,hi
मैं थोड़ा इन्सटॉलमेंट देना चाहता हूँ अपने लोन का।,emi_collection_partial,hi
मुझे अपने लोन की तोड़ी ईएमआई जमा करनी है।,emi_collection_partial,hi
ईएमआई की ड्यू डेट आ गयी है आधा भुगतान करना है।,emi_collection_partial,hi
"ड्यू डेट आ रही है मेरे लोन की, आधा इन्सटॉलमेंट भरना है।",emi_collection_partial,hi
"आधा इन्सटॉलमेंट का भुगतान करना है, जो मेरा लोन है उसका।",emi_collection_partial,hi
लोन की आधी ईएमआई का भुगतान करना है।,emi_collection_partial,hi
