sentence,intent,language
Recharge fastag,fastag_recharge,en
Fastag Recharge,fastag_recharge,en
Recharge my fastag,fastag_recharge,en
Add money to Fastag,fastag_recharge,en
Recharge fast tag,fastag_recharge,en
Fast tag Recharge,fastag_recharge,en
Recharge my fast tag,fastag_recharge,en
Add money to Fast tag,fastag_recharge,en
Recharge first tag,fastag_recharge,en
First tag Recharge,fastag_recharge,en
Recharge my first tag,fastag_recharge,en
Add money to First tag,fastag_recharge,en
Firstag Recharge,fastag_recharge,en
Recharge my firsttag,fastag_recharge,en
Add money to Firsttag,fastag_recharge,en
Recharge fastag from upi account,fastag_recharge,en
Use upi for Fastag Recharge,fastag_recharge,en
Recharge my fast tag using upi balance,fastag_recharge,en
Add money to Fast tag from upi,fastag_recharge,en
Using upi Recharge firstag,fastag_recharge,en
From upi Add money to Firstag,fastag_recharge,en
Pay for Recharge fastag,fastag_recharge,en
Make payment for Fastag,fastag_recharge,en
Recharge fast tag account,fastag_recharge,en
Fast tag account Recharge,fastag_recharge,en
Recharge my fast tag account,fastag_recharge,en
Make payment for first tag,fastag_recharge,en
Payment for First tag Recharge,fastag_recharge,en
Pay to Recharge my first tag,fastag_recharge,en
Use upi to Pay for Recharge fastag,fastag_recharge,en
Make payment from upi balance for Fastag,fastag_recharge,en
using upi account Recharge fast tag account,fastag_recharge,en
Fast tag account Recharge from upi balance,fastag_recharge,en
Recharge my fast tag account using upi account,fastag_recharge,en
Make payment for first tag from upi balance,fastag_recharge,en
Payment for First tag Recharge  from upi account,fastag_recharge,en
Upi Pay to Recharge my first tag,fastag_recharge,en
upi payment for Fastag,fastag_recharge,en
Upi Payment for First tag,fastag_recharge,en
Refill FASTag balance,fastag_recharge,en
Add FASTag funds,fastag_recharge,en
Reload FASTag account,fastag_recharge,en
Recharge FASTag wallet,fastag_recharge,en
Top up FASTag,fastag_recharge,en
Replenish FAST tag balance,fastag_recharge,en
Pay FASTag tolls,fastag_recharge,en
Add FASTag money,fastag_recharge,en
Reload FASTag funds,fastag_recharge,en
Top off FASTag,fastag_recharge,en
Add FAST tag funds,fastag_recharge,en
Reload FAST tag account,fastag_recharge,en
Recharge FAST tag wallet,fastag_recharge,en
Top up FAST tag,fastag_recharge,en
Add FAST tag money,fastag_recharge,en
Reload FAST tag funds,fastag_recharge,en
Top off FAST tag,fastag_recharge,en
Add First tag funds,fastag_recharge,en
Reload First tag account,fastag_recharge,en
Recharge First tag wallet,fastag_recharge,en
Top up First tag,fastag_recharge,en
Add First tag money,fastag_recharge,en
Reload First tag funds,fastag_recharge,en
Top off First tag,fastag_recharge,en
I need to add funds to my FASTag account,fastag_recharge,en
I want to top up my FASTag balance,fastag_recharge,en
like to recharge my FAST Tag,fastag_recharge,en
need to reload my FAST tag account,fastag_recharge,en
replenish my First Tag balance,fastag_recharge,en
I need to add money to my First Tag wallet,fastag_recharge,en
want to refill my FASTag account,fastag_recharge,en
I would like to top off my FAST tag balance,fastag_recharge,en
