sentence,intent,language
Buy diesel,petrol_payment,en
diesel oil buy,petrol_payment,en
Buy petrol,petrol_payment,en
Buy uFill,petrol_payment,en
uFill voucher buy,petrol_payment,en
Buy you Fill,petrol_payment,en
Buy you Fill voucher,petrol_payment,en
uFil buy,petrol_payment,en
Buy uFil voucher,petrol_payment,en
Voucher for diesel,petrol_payment,en
diesel oil Voucher,petrol_payment,en
Voucher for petrol,petrol_payment,en
You Fill service,petrol_payment,en
uFill service voucher,petrol_payment,en
uFil service buy,petrol_payment,en
Pay for diesel,petrol_payment,en
Payment for diesel oil,petrol_payment,en
Make payment for petrol,petrol_payment,en
Pay for uFill,petrol_payment,en
uFill voucher payment,petrol_payment,en
you Fill payment,petrol_payment,en
Pay for you Fill voucher,petrol_payment,en
Make payment for uFil,petrol_payment,en
Buy diesel through upi,petrol_payment,en
Use upi for diesel oil payment,petrol_payment,en
Buy petrol using upi balance,petrol_payment,en
Upi account to Buy uFill,petrol_payment,en
uFill voucher buy using upi account,petrol_payment,en
Upi balance to Buy you Fill,petrol_payment,en
Make upi payment for you Fill voucher,petrol_payment,en
Pay from upi uFil buy,petrol_payment,en
Buy uFil voucher payment from upi,petrol_payment,en
Pay for diesel through upi,petrol_payment,en
Upi pay for diesel oil Voucher,petrol_payment,en
You Fill service from upi,petrol_payment,en
Upi payment for uFill service voucher,petrol_payment,en
uFil service buy using upi,petrol_payment,en
"Need diesel voucher, fifty nine litre",petrol_payment,en
"Thirty one litre diesel voucher, please",petrol_payment,en
Voucher for twenty three litre petrol,petrol_payment,en
Twenty five litre diesel voucher,petrol_payment,en
One hundred twenty nine liter diesel voucher,petrol_payment,en
Buy forty one litre diesel voucher,petrol_payment,en
"Fuel voucher, fifty four liter  petrol",petrol_payment,en
"buy a fifty five liter diesel voucher, please",petrol_payment,en
Twelve liter ufill voucher,petrol_payment,en
You fill voucher for thirteen liter oil,petrol_payment,en
Ufill voucher fifteen liter petrol,petrol_payment,en
"Pay for diesel voucher, fifty nine  litre",petrol_payment,en
