sentence,intent,language
पालिसी रिन्यूअल,insurance_renewal,hi
पालिसी प्रीमियम का पेमेंट,insurance_renewal,hi
पालिसी प्रीमियम का पेमेन्ट,insurance_renewal,hi
बीमा पालिसी रिन्यूअल,insurance_renewal,hi
बीमा पालिसी प्रीमियम का पेमेंट,insurance_renewal,hi
बीमा पालिसी प्रीमियम का पेमेन्ट,insurance_renewal,hi
इंश्योरेंस रिन्यूअल,insurance_renewal,hi
इंश्योरेंस प्रीमियम का पेमेंट,insurance_renewal,hi
इंश्योरेंस प्रीमियम का पेमेन्ट,insurance_renewal,hi
इंश्योरेंस पालिसी रिन्यूअल,insurance_renewal,hi
इंश्योरेंस पालिसी प्रीमियम का पेमेंट,insurance_renewal,hi
इंश्योरेंस पालिसी प्रीमियम का पेमेन्ट,insurance_renewal,hi
पॉलिसी रिन्यूअल,insurance_renewal,hi
पॉलिसी प्रीमियम का पेमेंट,insurance_renewal,hi
पॉलिसी प्रीमियम का पेमेन्ट,insurance_renewal,hi
बीमा पॉलिसी रिन्यूअल,insurance_renewal,hi
बीमा पॉलिसी प्रीमियम का पेमेंट,insurance_renewal,hi
बीमा पॉलिसी प्रीमियम का पेमेन्ट,insurance_renewal,hi
इंश्योरेंस रिन्यूअल,insurance_renewal,hi
इंश्योरेंस प्रीमियम का पेमेंट,insurance_renewal,hi
इंश्योरेंस प्रीमियम का पेमेन्ट,insurance_renewal,hi
इंश्योरेंस पॉलिसी रिन्यूअल,insurance_renewal,hi
इंश्योरेंस पॉलिसी प्रीमियम का पेमेंट,insurance_renewal,hi
इंश्योरेंस पॉलिसी प्रीमियम का पेमेन्ट,insurance_renewal,hi
टर्म पॉलिसी रिन्यूअल,insurance_renewal,hi
टर्म पॉलिसी प्रीमियम का पेमेंट,insurance_renewal,hi
टर्म पॉलिसी प्रीमियम का पेमेन्ट,insurance_renewal,hi
बीमा टर्म पॉलिसी रिन्यूअल,insurance_renewal,hi
बीमा टर्म पॉलिसी प्रीमियम का पेमेंट,insurance_renewal,hi
टर्म बीमा पॉलिसी प्रीमियम का पेमेन्ट,insurance_renewal,hi
टर्म इंश्योरेंस रिन्यूअल,insurance_renewal,hi
टर्म इंश्योरेंस प्रीमियम का पेमेंट,insurance_renewal,hi
टर्म इंश्योरेंस प्रीमियम का पेमेन्ट,insurance_renewal,hi
टर्म इंश्योरेंस पॉलिसी रिन्यूअल,insurance_renewal,hi
टर्म इंश्योरेंस पॉलिसी प्रीमियम का पेमेंट,insurance_renewal,hi
टर्म इंश्योरेंस पॉलिसी प्रीमियम का पेमेन्ट,insurance_renewal,hi
टर्म प्लान रिन्यूअल,insurance_renewal,hi
टर्म प्लान प्रीमियम का पेमेंट,insurance_renewal,hi
टर्म प्लान प्रीमियम का पेमेन्ट,insurance_renewal,hi
टर्म इंश्योरेंस प्लान रिन्यूअल,insurance_renewal,hi
टर्म इंश्योरेंस प्लान प्रीमियम का पेमेंट,insurance_renewal,hi
टर्म इंश्योरेंस प्लान प्रीमियम का पेमेन्ट,insurance_renewal,hi
मनी बैक पॉलिसी रिन्यूअल,insurance_renewal,hi
मनी बैक पॉलिसी प्रीमियम का पेमेंट,insurance_renewal,hi
मनी बैक पॉलिसी प्रीमियम का पेमेन्ट,insurance_renewal,hi
बीमा मनी बैक पॉलिसी रिन्यूअल,insurance_renewal,hi
बीमा मनी बैक पॉलिसी प्रीमियम का पेमेंट,insurance_renewal,hi
मनी बैक बीमा पॉलिसी प्रीमियम का पेमेन्ट,insurance_renewal,hi
मनी बैक इंश्योरेंस रिन्यूअल,insurance_renewal,hi
मनी बैक इंश्योरेंस प्रीमियम का पेमेंट,insurance_renewal,hi
मनी बैक इंश्योरेंस प्रीमियम का पेमेन्ट,insurance_renewal,hi
